ID;Label;REG;Entidad_ID;Nivel;Census-Level;year;START_;END_;Fecha_Dato;Nota;Dato-tipo;Fuente;Población;Blancos;Indios;Indefinidos;Mestizos;Castas;Blancos-rel;Indios-rel;Indefinidos-rel;Mestizos-rel;Castas-rel;Esclavos;Esclavos-rel;Vecinos-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indios-t-doc;Indefinidos-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiasticos-m-doc;Eclesiasticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indios-m-doc;Indios-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-sol-doc;Negros-f-cas-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Tributarios
32;Concepcion;CHL;JUCHCOCO;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;3475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Rere;CHL;JUCHCORE;Jurisdiccion;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;6500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;San Luis;RPL;JURPCOSL;Partido;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;3285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;San Juan;RPL;JURPCOSJ;Partido;30;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;4640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Chiloe;CHL;PRCHCH00;Jurisdiccion;34;1755;1755;1755;1755;La cifra no proviene de un estado estadístico sino de una relación. El número de españoles e indios se calculó sobre el número de familias, asumiendo una igualdad en el número de personas/familia.;calculo;rel-geo-1756;18856;9819;9037;0;0;0;52,07;47,93;0,00;0,00;0,00;0;;;4699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Juan Fernandez;CHL;JUCHCOJF;Jurisdiccion;34;1756;1755;1756;1756;La cifra no proviene de un estado estadístico sino de una relación.;original;rel-geo-1756;3002;2532;470;0;0;0;84,34;15,66;0,00;0,00;0,00;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Paraguay;RPL;PRRPPA00;Provincia_menor;34;1761;1761;1761;1761;;original;wilde;38575;33217;5358;0;0;0;86,11;13,89;0,00;0,00;0,00;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Puerto Rico;SDO;PRSDPR00;Provincia;34;1765;1765;1765;1765;;original;vazquez-calzada;44833;;;;;;;;;;;;;;;;;;;;;;;5037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Guayana;VEN;PRVEGU00;Provincia;34;1766;1766;1766;1766;;original;Caracas,136;8867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;El Valle;GUA;JUGUGUGU;Partido;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;77239;0;68737;8502;0;0;0,00;88,99;11,01;0,00;0,00;0;;;;;;;68737;8502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Solola;GUA;JUGUGUSO;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;20762;0;20295;467;0;0;0,00;97,75;2,25;0,00;0,00;0;;;;;;;20295;467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Totonicapan;GUA;JUGUGUTO;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;33174;0;31936;1238;0;0;0,00;96,27;3,73;0,00;0,00;0;;;;;;;31936;1238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Quetzaltenango;GUA;JUGUGUQU;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;17806;0;14019;3787;0;0;0,00;78,73;21,27;0,00;0,00;0;;;;;;;14019;3787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Verapaz;GUA;JUGUGUVE;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;33630;0;30231;3399;0;0;0,00;89,89;10,11;0,00;0,00;0;;;;;;;30231;3399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Suchiltepequez;GUA;JUGUGUSU;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;16204;0;14311;1893;0;0;0,00;88,32;11,68;0,00;0,00;0;;;;;;;14311;1893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Escuintla;GUA;JUGUGUES;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;20882;0;12678;8204;0;0;0,00;60,71;39,29;0,00;0,00;0;;;;;;;12678;8204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Chiquimula;GUA;JUGUGUCM;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;43067;0;29843;13224;0;0;0,00;69,29;30,71;0,00;0,00;0;;;;;;;29843;13224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Sonsonate;GUA;JUGUGUSS;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;27220;0;19946;7274;0;0;0,00;73,28;26,72;0,00;0,00;0;;;;;;;19946;7274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;San Salvador;GUA;PRGUSS00;Jurisdiccion;30;1770;1770;1770;1770;Las cifras se basan en la visita del obispo Cortes y Larraz, pero con modificaciones necesarias del autor.;investigacion;solorzano-fonseca1;85530;0;37534;47996;0;0;0,00;43,88;56,12;0,00;0,00;0;;;;;;;37534;47996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Guatemala;GUA;OBGUGU00;Obispado;40;1770;1770;1770;1770;;suma-de-parciales;solorzano-fonseca1;375514;0;279530;95984;0;0;0,00;74,44;25,56;0,00;0,00;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Santo Domingo;SDO;PRSDSD00;Provincia;34;1772;1772;1772;1772;;investigacion;sevilla;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Guayana;VEN;PRVEGU00;Provincia;34;1773;1773;1773;1773;;original;Caracas,136;17418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Soconusco;GUA;JUGUCHSO;Jurisdiccion;34;1774;1774;1774;1774;;original;lujan;2549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
