ID;Label;GZ_ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias
28;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1817;1817;1817;original;lombardi2;;;6935;459;273;0;6203;0;7,696177062;84,15492958;7,645875252;0,503018109;0;421;6,070656092;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;47;106;56;45;153;50;29;48;41;29;63;63;;;;;;;;;;;;;527;979;853;527;1762;852;31;56;34;80;31;50;13;109;63;19;177;40;;;;;;;;;;;;;;;;;;;;;;;;
29;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1818;1818;1818;original;lombardi2;;;6709;530;299;0;5880;0;6,605080831;66,88221709;11,5704388;14,94226328;0;432;6,439111641;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;56;100;76;56;150;92;28;45;58;28;68;72;;;;;;;;;;;;;543;600;861;543;1672;899;38;50;48;78;38;78;15;106;66;15;172;58;;;;;;;;;;;;;;;;;;;;;;;;
30;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1819;1819;1819;original;lombardi2;;;6798;556;333;0;5909;0;6,276870163;88,75752365;3,890799656;1,074806535;0;445;6,546042954;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;59;103;78;59;156;100;33;40;64;33;70;93;;;;;;;;;;;;;550;590;865;550;1660;910;40;43;50;80;40;86;14;108;69;14;178;62;;;;;;;;;;;;;;;;;;;;;;;;
31;Barquisimeto, Mitad De(2);0;Barquisimeto, Mitad De(2);;Obispado de Caracas;;VEN;;;;Barrio;1820;1820;1820;original;lombardi2;;;6824;599;328;0;5897;0;5,679031269;82,1888412;8,116186389;4,01594114;0;441;6,462485346;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;60;138;84;60;159;98;34;47;63;34;74;76;;;;;;;;;;;;;548;560;872;548;1680;906;41;48;50;80;41;82;16;107;70;16;170;62;;;;;;;;;;;;;;;;;;;;;;;;
32;Valles de Pueblos;0;;;Paraguay;Intendencia de Paraguay;RPL;;;;Nucleo;1795;1800;1795-1800;original;azara;No;;5533;5533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Mexico;1000001;;;;;NES;14;;1;Nucleo;1790;1793;;original;revillagigedo;No;;104760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Parroquia de S. José;9901088;;Mexico;Arzobispado de Mexico;;NES;1;;;Barrio;1777;1779;1778;calculo;sanchez-santiro;;;5337;2007;1795;709;826;0;2,735849057;0,188679245;0;97,0754717;0;0;0;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;390;180;283;391;266;283;406;169;278;406;130;277;;;;;;;140;40;121;141;81;121;142;81;150;143;82;150;0;0;2;0;2;2;;;;;;;48;151;39;90;19;46;11;61;0;0;;;;;;548;295;;213;422;2;;;
35;Concepción y Bucareli (misión);9900863;;;Arzobispado de Mexico;;NES;1;;;Curato;1777;1779;1778;calculo;sanchez-santiro;;;197;9;178;0;10;0;0;100;0;0;0;0;0;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;2;0;1;2;0;1;43;9;32;43;9;31;;;;;;;0;;0;0;;0;1;1;3;1;1;2;;;;;;;;;;;;;0;0;4;7;;;1;0;;;;;;;;2;43;;;2;;;;
36;Guadalajara;1000002;;;;;GDJ;;;1;Nucleo+;1790;1793;1789;original;revillagigedo;No;Otro estudio habla de sólo 10121 habitantes según el padrón de 1791, inclusive los barrios Analco y Mexicaltzingo.;24249;9572;4241;0;10436;0;15,35896086;11,93610672;0;72,70493242;0;0;0;;;;;;;;;;;;;241;209;4474;4648;;;2089;2152;;;5071;5365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Guadalajara;1000002;;Guadalajara;;;GDJ;3;;;Nucleo+;1778;1780;1780;original;MP-Mexico_360;;;22127;0;0;0;0;22127;15,18518519;0,37037037;0;84,44444444;100;0;0;;;;;;;22127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
